"dataset_id","n_abnj","n_all"
"21ef2ac4-3dd3-42b3-9f62-36f28b7962e8",0,31
"220431d9-a6de-4e0c-839d-dc155dd70044",0,163
"22266114-b626-410a-891e-ff4cd56e4745",0,40
"222d85fd-d6fb-454b-baaf-2ab60906dab1",1,21
"225fab6f-53ad-43f0-9ae8-abfa65dcaf10",0,68
"228907b6-5fd9-40ac-95ab-13f6730db8ac",0,2269
"22940bb9-80b7-431b-a3c3-2b937714ddf1",166,26520
"22aa5133-5670-49a8-b48e-dbfbb56c5d9a",82,122
"22b21edc-6d6c-4d45-846f-27887469f0d3",0,1135
"22db1028-b084-421d-909b-2b6d5aa510a1",0,1933
"22fcfe7e-1923-4928-9a06-2aa2326227e8",0,1808
"230df405-9b7e-4996-a991-bfc15b5291af",410,3101
"2316f414-7b56-4795-bd42-f50986445638",1412,1412
"23197597-35be-4dfe-b727-dae6c78d75a5",0,320
"231dc661-d8d9-4d49-9ff0-45bd21a08541",8132,495704
"236070b0-e8d2-41aa-aecc-848f457c3e1e",0,3093
"2363feda-0383-40c0-8ed9-00b4baeb7a63",0,164
"23678adb-b175-4352-856d-d43322374cb1",67,26516
"237d9d1b-7e81-4776-aa32-c4cfa6707f10",0,16
"23824d76-c44e-400c-a3a7-f3f36df32d4e",0,758
"23a662e6-5fdb-4b04-b2b5-dc142be6b250",63,440
"23aa2d11-098b-40f6-a115-c1b6c74b7405",0,107
"23b62349-04a4-442e-bf20-8d91dbc03488",3,2366
"23ba1623-a8c1-4bde-b3b0-912aa5cca885",0,22
"23bd22c1-9a98-44d4-8e23-3a9c55915caf",11,134
"23c15f33-94a8-4e3e-bb76-5d5b0bf203f8",0,13030
"23edb7d9-db57-4898-9a8e-5e866b46de56",0,77
"245bc74a-efa3-4bcd-ae87-a8d1ba1f666d",0,7164
"2462ab76-f01f-4c2c-bf00-1cae962f386a",0,233584
"248d4349-7c65-4291-b849-57127a20aec8",179,2000
"24b24b44-52ef-4f6a-b9a0-5fa20bfeff49",0,18175
"2570df1d-d55e-4e24-abe4-14857e2271bb",0,448
