"id","title","records","institute","oceanexpert_id","typeid","type"
"9a37fc55-1fc8-4c19-b649-10d86c03b7bb","PIROP Northwest Atlantic 1965-1992",13044,"Canadian Wildlife Service",NA,NA,NA
"9a37fc55-1fc8-4c19-b649-10d86c03b7bb","PIROP Northwest Atlantic 1965-1992",13044,"Marine Geospatial Ecology Lab, Duke University",NA,NA,NA
"72f1ab78-1fc3-493d-943f-8e16c6112f26","PANGAEA - Data from paleoenvironmental reconstructions from marine sediments @ AWI",11858,"Alfred-Wegener-Institut (Helmholtz-Zentrum für Polar- und Meeresforschung)",4953,2,"Research"
"72f1ab78-1fc3-493d-943f-8e16c6112f26","PANGAEA - Data from paleoenvironmental reconstructions from marine sediments @ AWI",11858,"Vlaams Instituut voor de Zee",6223,3,"Government"
"72f1ab78-1fc3-493d-943f-8e16c6112f26","PANGAEA - Data from paleoenvironmental reconstructions from marine sediments @ AWI",11858,"Alfred Wegener Institute for Polar- and Marine Research (AWI)",NA,NA,NA
"72f1ab78-1fc3-493d-943f-8e16c6112f26","PANGAEA - Data from paleoenvironmental reconstructions from marine sediments @ AWI",11858,"Flanders Marine Institute (VLIZ)",NA,NA,NA
"5a38f1d9-a6b1-45ec-9506-fdad6d8643a2","JODC Dataset",11171,"Japan Oceanographic Data Center",11036,3,"Government"
"528fe00d-8ca0-4c32-b6b2-fe72b05d9a6e","British Antarctic Survey Argos satellite tracking data",11038,"Intergovernmental Oceanographic Commission of UNESCO",6860,7,"International / Intergovernmental"
"528fe00d-8ca0-4c32-b6b2-fe72b05d9a6e","British Antarctic Survey Argos satellite tracking data",11038,"Natural Environment Research Council; British Antarctic Survey (BAS)",NA,NA,NA
"9d699bfd-d73a-4b55-b113-6c0a8551f481","IMOS - AusCPR: Phytoplankton Abundance",10266,"CSIRO Marine and Atmospheric Research, Brisbane",5605,3,"Government"
"9d699bfd-d73a-4b55-b113-6c0a8551f481","IMOS - AusCPR: Phytoplankton Abundance",10266,"CSIRO Oceans and Atmosphere (Hobart)",17014,3,"Government"
"9d699bfd-d73a-4b55-b113-6c0a8551f481","IMOS - AusCPR: Phytoplankton Abundance",10266,"CSIRO Oceans and Atmosphere",NA,NA,NA
"7e3d0036-a7ab-4275-81c1-6978698befc5","Australian Antarctic Territory bird banding records",9849,"Intergovernmental Oceanographic Commission of UNESCO",6860,7,"International / Intergovernmental"
"7e3d0036-a7ab-4275-81c1-6978698befc5","Australian Antarctic Territory bird banding records",9849,"Australian Antarctic Division; Australian Antarctic Data Centre",NA,NA,NA
"10b213e6-a9c4-459e-a40c-ef9edc461b97","Marine data from the Bernice P. Bishop Museum",9107,"Bernice P. Bishop Museum",NA,NA,NA
"10b213e6-a9c4-459e-a40c-ef9edc461b97","Marine data from the Bernice P. Bishop Museum",9107,"Technical Innovations, Inc.",NA,NA,NA
"10b213e6-a9c4-459e-a40c-ef9edc461b97","Marine data from the Bernice P. Bishop Museum",9107,"Bishop Museum",NA,NA,NA
"10b213e6-a9c4-459e-a40c-ef9edc461b97","Marine data from the Bernice P. Bishop Museum",9107,"VertNet",NA,NA,NA
"10b213e6-a9c4-459e-a40c-ef9edc461b97","Marine data from the Bernice P. Bishop Museum",9107,"Museum of Vertebrate Zoology at UC Berkeley",NA,NA,NA
"41de338d-6a8a-43f7-a351-ce5c61a7708e","Atlantic Anguilla surveys (1862-2007)",9082,"Vlaams Instituut voor de Zee",6223,3,"Government"
